date,estMinutesWatched,views,likes,dislikes,subscribersGained,subscribersLost,comments,avgviewdur
2022-01-01,2,3,0,0,1,0,2,57
2022-01-02,2,5,0,0,0,0,0,24
2022-01-03,2,6,0,0,0,0,0,27
2022-01-04,0,0,0,0,0,0,0,0
2022-01-05,0,1,0,0,0,0,0,58
2022-01-06,2,2,0,0,0,0,0,67
2022-01-07,1,3,0,0,0,0,0,22
2022-01-08,0,0,0,0,0,0,0,0
2022-01-09,0,1,0,0,0,0,0,23
2022-01-10,9,14,2,0,1,0,0,40
2022-01-11,17,23,1,0,0,0,0,44
2022-01-12,12,23,1,0,0,0,0,33
2022-01-13,12,19,13,0,2,0,0,39
2022-01-14,19,22,7,0,1,0,1,54
2022-01-15,58,89,3,0,1,0,1,39
2022-01-16,22,41,6,0,2,0,0,32
2022-01-17,8,14,1,0,1,0,0,37
2022-01-18,10,17,2,0,0,0,1,38
2022-01-19,4,11,0,0,0,0,0,24
2022-01-20,16,20,1,0,0,0,0,50
2022-01-21,19,19,1,1,0,0,0,60
2022-01-22,4,14,0,0,0,0,0,21
2022-01-23,6,15,0,0,0,0,0,27
2022-01-24,22,16,0,0,0,0,0,83
2022-01-25,21,18,0,0,0,0,0,70
2022-01-26,2,3,1,0,0,0,0,57
2022-01-27,0,0,0,0,0,0,0,0
2022-01-28,0,0,0,0,0,0,0,0
2022-01-29,0,0,0,0,0,0,0,0
2022-01-30,3,4,0,0,0,0,1,56
2022-01-31,6,8,2,0,1,0,0,51
2022-02-01,0,5,0,0,0,0,0,7
2022-02-02,0,3,0,0,0,0,0,17
2022-02-03,0,1,0,0,0,0,0,26
2022-02-04,0,0,0,0,0,0,0,0
2022-02-05,0,1,0,0,0,0,0,2
2022-02-06,19,9,1,0,0,0,0,130
2022-02-07,19,23,0,1,0,0,1,50
2022-02-08,6,14,0,1,0,0,1,29
2022-02-09,2,2,0,0,0,0,0,64
2022-02-10,1,7,1,0,0,0,0,16
2022-02-11,1,5,0,0,0,0,0,13
